Date | 6/5/2019 8:34:48 AM   Msg | [INFO] Bot stopped...   
Date | 6/5/2019 8:34:45 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 27 level(s)...   
Date | 6/5/2019 8:34:18 AM   Msg | [INFO] Bot started...   
Date | 6/5/2019 8:05:20 AM   Msg | [INFO] Bot stopped...   
Date | 6/5/2019 8:05:17 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 90sec   
Date | 6/5/2019 8:05:17 AM   Msg | [ENCOUNTER] You successfully caught Shelmet!   
Date | 6/5/2019 8:05:17 AM   Msg | [INFO] Bot stopped...   
Date | 6/5/2019 8:03:46 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 8:03:15 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 4sec   
Date | 6/5/2019 8:03:15 AM   Msg | [ENCOUNTER] You successfully caught Nidorino!   
Date | 6/5/2019 8:03:10 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 8:01:53 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 5sec   
Date | 6/5/2019 8:01:53 AM   Msg | [ENCOUNTER] You successfully caught Jigglypuff!   
Date | 6/5/2019 8:01:47 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 8:00:56 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 1sec   
Date | 6/5/2019 8:00:56 AM   Msg | [ENCOUNTER] You successfully caught Weedle!   
Date | 6/5/2019 8:00:54 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 8:00:27 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 85sec   
Date | 6/5/2019 8:00:27 AM   Msg | [ENCOUNTER] You successfully caught Sandile!   
Date | 6/5/2019 7:59:02 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:57:54 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 60sec   
Date | 6/5/2019 7:57:54 AM   Msg | [ENCOUNTER] You successfully caught Dusclops!   
Date | 6/5/2019 7:56:54 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:56:39 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 61sec   
Date | 6/5/2019 7:56:39 AM   Msg | [ENCOUNTER] You successfully caught Luvdisc!   
Date | 6/5/2019 7:55:37 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:55:04 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 47sec   
Date | 6/5/2019 7:55:04 AM   Msg | [ENCOUNTER] You successfully caught Whismur!   
Date | 6/5/2019 7:54:16 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:54:12 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 108sec   
Date | 6/5/2019 7:54:12 AM   Msg | [ENCOUNTER] You successfully caught Noibat!   
Date | 6/5/2019 7:52:23 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:51:26 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 10sec   
Date | 6/5/2019 7:51:26 AM   Msg | [ENCOUNTER] You successfully caught Growlithe!   
Date | 6/5/2019 7:51:15 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:48:44 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 3sec   
Date | 6/5/2019 7:48:44 AM   Msg | [ENCOUNTER] You successfully caught Raichu!   
Date | 6/5/2019 7:48:40 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:48:10 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 16sec   
Date | 6/5/2019 7:48:10 AM   Msg | [ENCOUNTER] You successfully caught Seel!   
Date | 6/5/2019 7:47:53 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:47:03 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 58sec   
Date | 6/5/2019 7:47:03 AM   Msg | [ENCOUNTER] You successfully caught Snorunt!   
Date | 6/5/2019 7:46:05 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:45:47 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 70sec   
Date | 6/5/2019 7:45:47 AM   Msg | [ENCOUNTER] You successfully caught Hippopotas!   
Date | 6/5/2019 7:44:36 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:43:18 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 33sec   
Date | 6/5/2019 7:43:18 AM   Msg | [ENCOUNTER] You successfully caught Hoppip!   
Date | 6/5/2019 7:42:44 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:42:07 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 78sec   
Date | 6/5/2019 7:42:07 AM   Msg | [ENCOUNTER] You successfully caught Rotom!   
Date | 6/5/2019 7:40:49 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:39:37 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 51sec   
Date | 6/5/2019 7:39:37 AM   Msg | [ENCOUNTER] You successfully caught Surskit!   
Date | 6/5/2019 7:38:46 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:38:32 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 82sec   
Date | 6/5/2019 7:38:32 AM   Msg | [ENCOUNTER] You successfully caught Timburr!   
Date | 6/5/2019 7:37:09 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:35:18 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 53sec   
Date | 6/5/2019 7:35:18 AM   Msg | [ENCOUNTER] You successfully caught Mawile!   
Date | 6/5/2019 7:34:25 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:31:33 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 7sec   
Date | 6/5/2019 7:31:33 AM   Msg | [ENCOUNTER] You successfully caught Parasect!   
Date | 6/5/2019 7:31:25 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:30:34 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 2sec   
Date | 6/5/2019 7:30:34 AM   Msg | [ENCOUNTER] You successfully caught Pidgey!   
Date | 6/5/2019 7:30:32 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:27:37 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 91sec   
Date | 6/5/2019 7:27:37 AM   Msg | [ENCOUNTER] You successfully caught Golett!   
Date | 6/5/2019 7:26:05 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:25:01 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 47sec   
Date | 6/5/2019 7:25:01 AM   Msg | [ENCOUNTER] You successfully caught Hariyama!   
Date | 6/5/2019 7:24:13 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:21:35 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 16sec   
Date | 6/5/2019 7:21:35 AM   Msg | [ENCOUNTER] You successfully caught Dodrio!   
Date | 6/5/2019 7:21:19 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:19:23 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 48sec   
Date | 6/5/2019 7:19:23 AM   Msg | [ENCOUNTER] You successfully caught Shroomish!   
Date | 6/5/2019 7:18:34 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:18:03 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 53sec   
Date | 6/5/2019 7:18:03 AM   Msg | [ENCOUNTER] You successfully caught Spinda!   
Date | 6/5/2019 7:17:09 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:14:31 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 96sec   
Date | 6/5/2019 7:14:31 AM   Msg | [ENCOUNTER] You successfully caught Rufflet!   
Date | 6/5/2019 7:12:55 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:12:45 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 29sec   
Date | 6/5/2019 7:12:45 AM   Msg | [ENCOUNTER] You successfully caught Noctowl!   
Date | 6/5/2019 7:12:16 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:11:38 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 27sec   
Date | 6/5/2019 7:11:38 AM   Msg | [ENCOUNTER] You successfully caught Furret!   
Date | 6/5/2019 7:11:10 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:10:50 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 4sec   
Date | 6/5/2019 7:10:50 AM   Msg | [ENCOUNTER] You successfully caught Nidoran!   
Date | 6/5/2019 7:10:46 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:10:12 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 19sec   
Date | 6/5/2019 7:10:12 AM   Msg | [ENCOUNTER] You successfully caught Exeggutor!   
