Date | 6/5/2019 12:59:52 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 7 level(s)...   
Date | 6/5/2019 12:57:11 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 71sec   
Date | 6/5/2019 12:57:11 PM   Msg | [ENCOUNTER] You successfully caught Gliscor!   
Date | 6/5/2019 12:56:00 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 12:55:26 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 6 level(s)...   
Date | 6/5/2019 12:54:26 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 87sec   
Date | 6/5/2019 12:54:26 PM   Msg | [ENCOUNTER] You successfully caught Vanillite!   
Date | 6/5/2019 12:52:58 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 12:52:30 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 5 level(s)...   
Date | 6/5/2019 12:51:06 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 4 level(s)...   
Date | 6/5/2019 12:49:35 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 3 level(s)...   
Date | 6/5/2019 12:48:40 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 1sec   
Date | 6/5/2019 12:48:40 PM   Msg | [ENCOUNTER] You successfully caught Weedle!   
Date | 6/5/2019 12:48:38 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 12:48:10 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 79sec   
Date | 6/5/2019 12:48:10 PM   Msg | [ENCOUNTER] You successfully caught Palpitoad!   
Date | 6/5/2019 12:46:51 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 12:46:43 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 2 level(s)...   
Date | 6/5/2019 12:45:18 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 1 level(s)...   
Date | 6/5/2019 12:45:03 PM   Msg | [INFO] Bot started...   
Date | 6/5/2019 1:33:57 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 19 level(s)...   
Date | 6/5/2019 1:33:21 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 68sec   
Date | 6/5/2019 1:33:21 PM   Msg | [ENCOUNTER] You successfully caught Buizel!   
Date | 6/5/2019 1:32:12 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:31:05 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 18 level(s)...   
Date | 6/5/2019 1:29:16 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 17 level(s)...   
Date | 6/5/2019 1:28:06 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 1sec   
Date | 6/5/2019 1:28:06 PM   Msg | [ENCOUNTER] You successfully caught Caterpie!   
Date | 6/5/2019 1:28:05 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:27:24 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 16 level(s)...   
Date | 6/5/2019 1:26:57 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 120sec   
Date | 6/5/2019 1:26:57 PM   Msg | [ENCOUNTER] You successfully caught Turtonator!   
Date | 6/5/2019 1:24:57 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:24:47 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 102sec   
Date | 6/5/2019 1:24:47 PM   Msg | [ENCOUNTER] You successfully caught Floette!   
Date | 6/5/2019 1:23:05 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:22:10 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 55sec   
Date | 6/5/2019 1:22:10 PM   Msg | [ENCOUNTER] You successfully caught Baltoy!   
Date | 6/5/2019 1:21:15 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:20:59 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 15 level(s)...   
Date | 6/5/2019 1:19:27 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 14 level(s)...   
Date | 6/5/2019 1:18:16 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 83sec   
Date | 6/5/2019 1:18:16 PM   Msg | [ENCOUNTER] You successfully caught Krokorok!   
Date | 6/5/2019 1:16:52 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:16:22 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 74sec   
Date | 6/5/2019 1:16:22 PM   Msg | [ENCOUNTER] You successfully caught Patrat!   
Date | 6/5/2019 1:15:08 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:14:56 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 13 level(s)...   
Date | 6/5/2019 1:12:15 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 56sec   
Date | 6/5/2019 1:12:15 PM   Msg | [ENCOUNTER] You successfully caught Shuppet!   
Date | 6/5/2019 1:11:18 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:10:26 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 12 level(s)...   
Date | 6/5/2019 1:09:07 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 57sec   
Date | 6/5/2019 1:09:07 PM   Msg | [ENCOUNTER] You successfully caught Baltoy!   
Date | 6/5/2019 1:08:10 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:07:56 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 11 level(s)...   
Date | 6/5/2019 1:07:04 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 66sec   
Date | 6/5/2019 1:07:04 PM   Msg | [ENCOUNTER] You successfully caught Burmy!   
Date | 6/5/2019 1:05:57 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:05:07 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 10 level(s)...   
Date | 6/5/2019 1:04:43 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 18sec   
Date | 6/5/2019 1:04:43 PM   Msg | [ENCOUNTER] You successfully caught Muk!   
Date | 6/5/2019 1:04:25 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 1:03:07 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 9 level(s)...   
Date | 6/5/2019 1:01:26 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 8 level(s)...   
