Date | 6/5/2019 3:50:37 PM   Msg | [INFO] Bot stopped...   
Date | 6/5/2019 3:47:19 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 61sec   
Date | 6/5/2019 3:47:19 PM   Msg | [ENCOUNTER] You successfully caught Shinx!   
Date | 6/5/2019 3:46:18 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:45:26 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 36sec   
Date | 6/5/2019 3:45:26 PM   Msg | [ENCOUNTER] You successfully caught Remoraid!   
Date | 6/5/2019 3:44:49 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:43:55 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 11sec   
Date | 6/5/2019 3:43:55 PM   Msg | [ENCOUNTER] You successfully caught Bellsprout!   
Date | 6/5/2019 3:43:43 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:41:47 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 73sec   
Date | 6/5/2019 3:41:47 PM   Msg | [ENCOUNTER] You successfully caught Panpour!   
Date | 6/5/2019 3:40:34 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:33:32 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 30sec   
Date | 6/5/2019 3:33:32 PM   Msg | [ENCOUNTER] You successfully caught Marill!   
Date | 6/5/2019 3:33:02 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:31:50 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 40sec   
Date | 6/5/2019 3:31:50 PM   Msg | [ENCOUNTER] You successfully caught Grovyle!   
Date | 6/5/2019 3:31:10 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:30:28 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 81sec   
Date | 6/5/2019 3:30:28 PM   Msg | [ENCOUNTER] You successfully caught Sandile!   
Date | 6/5/2019 3:29:06 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:25:49 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 78sec   
Date | 6/5/2019 3:25:49 PM   Msg | [ENCOUNTER] You successfully caught Venipede!   
Date | 6/5/2019 3:24:31 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:23:49 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 78sec   
Date | 6/5/2019 3:23:49 PM   Msg | [ENCOUNTER] You successfully caught Lilligant!   
Date | 6/5/2019 3:22:30 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:21:25 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 88sec   
Date | 6/5/2019 3:21:25 PM   Msg | [ENCOUNTER] You successfully caught Emolga!   
Date | 6/5/2019 3:19:56 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:18:35 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 2sec   
Date | 6/5/2019 3:18:35 PM   Msg | [ENCOUNTER] You successfully caught Spearow!   
Date | 6/5/2019 3:18:32 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:18:00 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 34sec   
Date | 6/5/2019 3:18:00 PM   Msg | [ENCOUNTER] You successfully caught Slugma!   
Date | 6/5/2019 3:17:25 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:16:40 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 11sec   
Date | 6/5/2019 3:16:40 PM   Msg | [ENCOUNTER] You successfully caught Bellsprout!   
Date | 6/5/2019 3:16:28 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:16:06 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 58sec   
Date | 6/5/2019 3:16:06 PM   Msg | [ENCOUNTER] You successfully caught Huntail!   
Date | 6/5/2019 3:15:08 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:12:10 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 97sec   
Date | 6/5/2019 3:12:10 PM   Msg | [ENCOUNTER] You successfully caught Doublade!   
Date | 6/5/2019 3:10:33 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:05:08 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 58sec   
Date | 6/5/2019 3:05:08 PM   Msg | [ENCOUNTER] You successfully caught Starly!   
Date | 6/5/2019 3:04:09 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:04:06 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 19 level(s)...   
Date | 6/5/2019 3:03:31 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 7sec   
Date | 6/5/2019 3:03:31 PM   Msg | [ENCOUNTER] You successfully caught Vileplume!   
Date | 6/5/2019 3:03:24 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 3:01:47 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 18 level(s)...   
Date | 6/5/2019 3:00:06 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 91sec   
Date | 6/5/2019 3:00:06 PM   Msg | [ENCOUNTER] You successfully caught Litleo!   
Date | 6/5/2019 2:58:35 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:57:49 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 17 level(s)...   
Date | 6/5/2019 2:56:21 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 79sec   
Date | 6/5/2019 2:56:21 PM   Msg | [ENCOUNTER] You successfully caught Minccino!   
Date | 6/5/2019 2:55:01 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:54:24 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 16 level(s)...   
Date | 6/5/2019 2:52:21 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 15 level(s)...   
Date | 6/5/2019 2:47:56 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 20sec   
Date | 6/5/2019 2:47:56 PM   Msg | [ENCOUNTER] You successfully caught Seaking!   
Date | 6/5/2019 2:47:36 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:47:35 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 14 level(s)...   
Date | 6/5/2019 2:46:08 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 13 level(s)...   
Date | 6/5/2019 2:44:12 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 91sec   
Date | 6/5/2019 2:44:12 PM   Msg | [ENCOUNTER] You successfully caught Eelektrik!   
Date | 6/5/2019 2:42:41 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:41:50 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 12 level(s)...   
Date | 6/5/2019 2:39:40 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 11 level(s)...   
Date | 6/5/2019 2:39:31 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 85sec   
Date | 6/5/2019 2:39:31 PM   Msg | [ENCOUNTER] You successfully caught Cryogonal!   
Date | 6/5/2019 2:38:06 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:37:24 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 60sec   
Date | 6/5/2019 2:37:24 PM   Msg | [ENCOUNTER] You successfully caught Turtwig!   
Date | 6/5/2019 2:36:23 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:35:01 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 10 level(s)...   
Date | 6/5/2019 2:34:09 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 78sec   
Date | 6/5/2019 2:34:09 PM   Msg | [ENCOUNTER] You successfully caught Sewaddle!   
Date | 6/5/2019 2:32:50 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:31:35 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 9 level(s)...   
Date | 6/5/2019 2:30:16 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 18sec   
Date | 6/5/2019 2:30:16 PM   Msg | [ENCOUNTER] You successfully caught Krabby!   
Date | 6/5/2019 2:29:58 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:29:33 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 112sec   
Date | 6/5/2019 2:29:33 PM   Msg | [ENCOUNTER] You successfully caught Vikavolt!   
Date | 6/5/2019 2:27:40 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:27:33 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 37sec   
Date | 6/5/2019 2:27:33 PM   Msg | [ENCOUNTER] You successfully caught Smeargle!   
Date | 6/5/2019 2:26:56 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:26:51 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 8 level(s)...   
Date | 6/5/2019 2:26:09 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 47sec   
Date | 6/5/2019 2:26:09 PM   Msg | [ENCOUNTER] You successfully caught Aggron!   
Date | 6/5/2019 2:25:22 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 2:24:50 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 68sec   
Date | 6/5/2019 2:24:50 PM   Msg | [ENCOUNTER] You successfully caught Hippowdon!   
Date | 6/5/2019 2:23:41 PM   Msg | [ENCOUNTER] Attempting identification...   
