Date | 5/22/2019 9:38:49 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 184 level(s)...   
Date | 5/22/2019 9:31:32 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 5sec   
Date | 5/22/2019 9:31:32 AM   Msg | [ENCOUNTER] You successfully caught Nidoran!   
Date | 5/22/2019 9:31:27 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 9:31:25 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 5sec   
Date | 5/22/2019 9:31:25 AM   Msg | [ENCOUNTER] You successfully caught Nidoran!   
Date | 5/22/2019 9:31:19 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:19:53 AM   Msg | [INFO] Bot started...   
Date | 5/22/2019 8:19:01 AM   Msg | [INFO] Bot stopped...   
Date | 5/22/2019 8:18:57 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 102sec   
Date | 5/22/2019 8:18:57 AM   Msg | [ENCOUNTER] You successfully caught Scraggy!   
Date | 5/22/2019 8:17:14 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:17:09 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 134sec   
Date | 5/22/2019 8:17:09 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/22/2019 8:14:54 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:14:53 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 137sec   
Date | 5/22/2019 8:14:53 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/22/2019 8:12:35 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:12:34 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 138sec   
Date | 5/22/2019 8:12:34 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/22/2019 8:10:16 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:07:08 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 2sec   
Date | 5/22/2019 8:07:08 AM   Msg | [ENCOUNTER] You successfully caught Caterpie!   
Date | 5/22/2019 8:07:06 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:06:34 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 48sec   
Date | 5/22/2019 8:06:34 AM   Msg | [ENCOUNTER] You successfully caught Wurmple!   
Date | 5/22/2019 8:05:46 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:05:27 AM   Msg | [ENCOUNTER] You successfully caught Tauros!   
Date | 5/22/2019 8:05:26 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 25sec   
Date | 5/22/2019 8:05:01 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:04:37 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 6sec   
Date | 5/22/2019 8:04:37 AM   Msg | [ENCOUNTER] You successfully caught Nidoran!   
Date | 5/22/2019 8:04:31 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:04:01 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 61sec   
Date | 5/22/2019 8:04:01 AM   Msg | [ENCOUNTER] You successfully caught Spoink!   
Date | 5/22/2019 8:02:59 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:01:14 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 13sec   
